Source,Target,Timestamp
8,1464,15
8,1986,15
8,17191,15
8,23214,15
15,83,17
15,3883,17
40,406,120
44,80767,15
44,109897,116
56,1458,15
83,1321,113
94,4448,15
94,6691,15
94,7621,15
94,8738,15
94,9590,15
94,11756,15
94,17686,15
94,22905,15
94,50716,15
94,72809,15
94,94619,15
94,100649,15
94,108289,15
100,102292,116
104,45743,120
106,92352,113
117,8569,113
131,2698,113
133,48,15
133,20098,15
147,44835,15
151,82431,17
182,5434,15
182,9956,15
182,47870,15
182,56342,15
182,83783,15
183,633,15
183,966,15
183,1134,15
202,8096,15
218,109118,19
225,28349,113
244,11867,113
247,59,15
247,824,15
247,880,15
247,2698,15
247,2919,15
247,4659,15
247,91683,15
252,1680,113
255,75528,17
264,506,15
264,9643,15
269,7066,120
278,1267,17
278,2093,17
278,2094,17
278,2264,17
278,2773,17
278,3373,17
278,3645,17
278,5238,17
278,7723,17
278,11545,17
278,13516,17
278,36615,17
278,60247,17
278,69053,17
278,94686,17
278,99480,17
292,1080,17
294,36677,113
298,63448,113
300,8096,15
305,83072,113
312,8225,113
323,7888,17
323,50757,17
323,79723,17
326,431,15
326,1350,15
326,1461,15
326,3009,15
326,7011,15
326,8187,15
326,14548,15
328,84020,15
334,14061,116
349,52291,17
349,108286,17
351,8815,15
365,83187,15
365,91978,15
370,52223,116
375,66162,116
417,79774,113
431,93443,113
438,21562,123
442,2396,15
442,37329,15
442,37363,15
442,37576,15
442,53908,15
443,23897,123
443,35385,123
457,110700,17
459,40870,15
466,87531,15
467,37363,116
476,13919,15
476,46337,15
476,66660,15
485,1471,123
485,2202,113
485,39147,19
486,1314,123
511,965,123
513,406,123
529,4766,17
532,541,15
532,24431,15
532,39067,15
532,43944,15
532,57516,15
532,61708,15
532,70159,15
532,83765,15
532,97078,15
532,99856,15
532,100733,15
532,107218,15
532,107257,15
532,108805,15
533,703,17
533,3107,17
533,32373,17
533,34355,17
550,1747,120
552,467,123
553,175,15
553,1323,15
553,2062,15
553,2274,15
553,6652,15
557,10893,113
557,17846,116
565,104655,15
576,108690,120
578,38860,19
588,294,15
588,4233,15
588,12617,15
588,89743,15
597,500,15
597,3297,15
597,4104,15
597,30462,15
597,65147,15
597,80299,15
597,85702,15
597,91615,15
614,35138,15
624,26202,15
626,5497,15
633,1999,15
636,102230,113
647,75756,113
659,34,15
659,44098,15
659,47044,15
659,90616,15
670,52223,120
670,88143,113
675,4010,120
675,8461,120
692,429,15
692,536,15
692,4202,15
692,7695,15
692,43039,15
692,87650,15
692,93713,15
692,95457,15
692,98274,15
692,104355,15
696,14559,120
703,79414,19
723,33756,19
723,50028,15
723,84837,15
742,48260,123
749,67577,15
754,8460,116
758,43272,15
775,79803,113
775,110046,17
781,709,17
781,5122,17
781,15378,17
781,35001,17
781,60816,17
783,57142,120
785,5086,17
788,8189,15
804,51422,120
808,537,15
808,85158,15
810,23302,113
810,109880,19
826,5284,15
826,6379,15
839,1011,17
851,365,15
857,31014,113
865,3603,116
870,31794,15
875,5183,15
875,61811,15
883,111547,17
885,605,15
885,8721,15
885,35356,116
885,68864,15
887,107066,113
898,19315,19
908,85000,123
912,1794,113
912,105963,123
927,36623,15
929,16441,15
929,30380,15
929,64099,15
929,111914,15
933,15399,15
933,71715,15
933,92809,15
939,2578,15
939,3251,15
939,4464,15
939,6521,15
939,15921,15
939,22467,15
939,36968,15
939,56693,15
939,64099,15
939,68819,15
939,90511,15
939,95469,15
940,3261,120
940,27905,120
950,13357,120
950,103989,113
952,6394,123
966,183,123
982,1015,15
982,1705,15
982,8307,15
982,14437,15
988,82,15
988,180,15
988,329,15
988,1946,15
988,2334,15
988,2592,15
988,2871,15
988,3019,15
988,3559,15
988,5524,15
988,10845,15
988,11563,15
988,17320,15
988,18837,15
988,20903,15
988,26587,15
988,33744,15
988,35780,15
988,91242,15
988,97530,15
988,105432,15
990,103989,113
1014,10956,15
1022,7132,17
1024,109878,15
1051,42151,19
1052,105432,15
1056,5789,120
1056,9165,123
1056,86149,120
1059,96408,15
1064,24891,113
1068,72702,15
1068,107101,15
1071,51229,123
1072,92090,15
1074,35138,15
1081,44073,17
1082,3348,116
1086,15869,113
1088,16083,15
1121,2399,116
1151,111578,113
1157,15407,116
1185,9373,15
1185,11277,15
1185,16197,15
1185,55188,15
1185,84238,15
1189,30144,120
1193,1350,15
1193,1387,15
1193,1942,15
1193,4791,15
1193,4903,19
1193,14238,15
1193,16685,15
1193,81994,15
1218,79210,116
1218,100132,113
1234,34,15
1234,493,15
1234,1096,15
1234,1195,15
1234,2062,15
1234,2274,15
1234,5279,15
1234,9851,15
1234,21899,15
1234,34102,15
1234,39200,15
1234,58867,15
1234,61652,15
1234,64034,15
1242,14888,113
1272,4214,15
1272,82856,15
1272,101520,15
1272,111589,15
1298,78113,19
1299,5444,19
1305,22913,17
1308,10007,17
1308,94083,19
1314,486,123
1318,1440,15
1320,97245,120
1325,104183,113
1350,27937,123
1350,93823,116
1359,406,120
1373,75756,113
1382,81329,15
1382,98555,19
1386,7883,120
1388,857,15
1391,40478,19
1399,17553,123
1401,7132,17
1415,80723,113
1418,936,15
1418,10569,15
1418,12801,15
1418,15726,15
1418,17048,15
1418,46749,15
1418,54596,15
1418,60279,15
1418,61969,15
1418,65771,15
1418,72358,15
1418,81069,15
1418,89334,15
1418,91890,15
1418,94802,15
1418,95670,15
1418,96971,15
1418,100612,15
1418,106277,15
1426,45125,113
1426,111496,17
1427,66071,15
1442,109345,19
1446,9348,113
1457,91191,15
1471,3480,113
1471,31740,113
1487,1056,120
1492,101491,113
1495,4532,19
1501,3097,15
1501,23142,15
1501,27021,15
1501,37859,15
1501,45095,15
1501,81140,15
1501,93920,15
1501,96299,15
1501,105280,15
1519,35965,19
1542,38566,15
1567,27206,17
1572,10182,113
1596,39341,123
1624,761,15
1624,968,15
1624,1035,15
1624,1058,15
1624,2369,15
1624,2587,15
1624,11354,15
1624,16291,15
1624,86456,15
1652,94378,15
1654,8343,19
1686,926,17
1716,9359,15
1716,98740,15
1739,6244,15
1739,9912,15
1739,16232,15
1739,73321,15
1747,550,123
1750,4336,15
1752,3291,15
1752,4269,15
1752,5210,15
1752,11000,15
1752,12118,15
1752,24608,15
1752,31287,15
1752,39401,15
1752,41899,15
1752,48958,15
1752,53312,15
1752,70879,15
1752,87889,15
1752,93926,15
1752,95325,15
1752,96474,15
1752,101793,15
1752,104350,15
1754,2666,15
1754,6853,15
1754,32119,15
1754,81589,15
1754,83348,15
1758,87531,113
1763,36512,17
1774,30178,17
1782,74633,116
1788,9078,17
1812,364,15
1812,370,15
1812,411,15
1812,1062,15
1812,1768,15
1812,2521,123
1812,3690,15
1812,5024,15
1812,10339,15
1812,16800,15
1812,19665,15
1812,82119,15
1814,29221,15
1814,33951,15
1814,80878,15
1814,97866,15
1814,99519,15
1814,100483,15
1824,3841,113
1824,17523,113
1836,3481,15
1839,2528,17
1840,14559,123
1845,41676,15
1857,4202,15
1857,19541,15
1857,63931,15
1865,17367,113
1869,84527,15
1879,633,113
1879,689,123
1879,2430,113
1879,82535,17
1891,75878,113
1903,50090,17
1903,96956,17
1912,88146,116
1950,7497,123
1999,1340,15
2004,174,123
2004,18998,116
2004,20256,113
2007,80591,113
2014,2329,15
2014,8237,15
2014,9379,15
2014,41443,15
2028,108223,113
2037,107066,17
2053,8618,116
2053,19847,116
2061,6862,15
2065,6905,17
2081,44104,123
2087,6651,15
2087,17659,15
2087,19703,15
2087,20001,15
2087,23442,15
2087,23873,15
2087,25646,120
2087,26234,15
2087,29626,15
2087,39800,15
2087,59850,15
2087,68147,15
2087,91411,15
2163,110794,15
2168,110074,116
2170,1250,15
2170,35625,15
2173,1737,17
2190,102771,17
2196,2998,15
2199,2249,15
2199,8098,15
2199,25399,15
2199,36661,15
2199,95779,15
2199,96826,15
2215,15258,113
2246,8096,15
2272,14217,116
2300,76,15
2313,22175,19
2313,64202,123
2316,102787,120
2330,97245,113
2333,79116,15
2340,697,113
2347,20884,120
2354,36066,113
2370,2047,116
2378,2681,116
2397,8219,15
2398,7135,15
2400,101491,19
2402,27695,15
2404,52014,17
2414,43290,17
2421,65507,113
2423,891,113
2423,34890,113
2451,792,15
2451,1120,15
2451,3323,15
2451,18266,15
2451,22162,15
2467,406,120
2486,82552,116
2496,77945,15
2499,108690,15
2515,40980,15
2515,59743,19
2515,92416,116
2521,1812,123
2526,40592,19
2564,1793,15
2564,15323,15
2564,17489,15
2564,78443,15
2564,83493,15
2564,93925,15
2570,29732,19
2571,14410,17
2571,26471,17
2571,75819,17
2571,82896,17
2571,87026,17
2571,101749,17
2571,106023,17
2571,111629,17
2577,681,15
2577,1384,15
2577,2305,15
2577,2398,15
2577,2972,15
2577,4519,15
2577,4644,15
2577,4875,15
2577,7679,15
2577,10047,15
2577,10410,15
2577,81065,15
2577,100837,15
2605,43568,15
2609,85751,116
2613,105926,15
2614,60584,120
2615,34123,15
2615,35508,15
2624,4410,15
2643,66162,120
2649,2515,113
2649,5719,113
2649,5930,120
2649,22013,17
2656,110794,15
2685,280,15
2685,4659,15
2685,14533,15
2688,7889,19
2688,47044,120
2692,60364,116
2698,131,113
2708,4241,15
2713,406,123
2746,83762,113
2768,7076,113
2777,3869,19
2780,46425,15
2806,64395,113
2807,8074,15
2809,4863,113
2818,108655,120
2872,25458,17
2877,30144,19
2886,36614,19
2886,105712,17
2889,11295,15
2912,17547,15
2916,22013,15
2921,30248,120
2947,4191,15
2947,4248,15
2947,11732,15
2947,14364,15
2947,14801,15
2947,19915,15
2947,40158,15
2947,42424,15
2947,50969,15
2947,70311,15
2950,14784,15
2950,45922,15
2950,74788,15
2954,22273,113
2958,4890,116
2966,30869,15
2973,110074,15
2994,8290,15
2998,2196,15
