,Source,Target
24,8,1464
25,8,1986
26,8,17191
27,8,23214
44,15,83
48,15,3883
111,40,406
121,44,80767
123,44,109897
167,56,1458
284,83,1321
310,94,4448
311,94,6691
312,94,7621
313,94,8738
314,94,9590
315,94,11756
316,94,17686
317,94,22905
318,94,50716
319,94,72809
320,94,94619
321,94,100649
322,94,108289
356,100,102292
366,104,45743
377,106,92352
402,117,8569
451,131,2698
459,133,48
503,133,20098
564,147,44835
578,151,82431
686,182,5434
687,182,9956
688,182,47870
689,182,56342
690,182,83783
691,183,633
692,183,966
693,183,1134
752,202,8096
787,218,109118
807,225,28349
886,244,11867
901,247,59
902,247,824
903,247,880
904,247,2698
905,247,2919
906,247,4659
907,247,91683
942,252,1680
965,255,75528
988,264,506
989,264,9643
1001,269,7066
1038,278,1267
1039,278,2093
1040,278,2094
1041,278,2264
1042,278,2773
1043,278,3373
1044,278,3645
1045,278,5238
1046,278,7723
1047,278,11545
1048,278,13516
1049,278,36615
1050,278,60247
1051,278,69053
1052,278,94686
1053,278,99480
1100,292,1080
1114,294,36677
1141,298,63448
1154,300,8096
1179,305,83072
1195,312,8225
1234,323,7888
1235,323,50757
1236,323,79723
1255,326,431
1256,326,1350
1257,326,1461
1258,326,3009
1259,326,7011
1260,326,8187
1261,326,14548
1262,328,84020
1288,334,14061
1354,349,52291
1377,349,108286
1394,351,8815
1468,365,83187
1469,365,91978
1524,370,52223
1567,375,66162
1693,417,79774
1768,431,93443
1783,438,21562
1819,442,2396
1820,442,37329
1821,442,37363
1822,442,37576
1823,442,53908
1835,443,23897
1837,443,35385
1909,457,110700
1932,459,40870
1960,466,87531
1961,467,37363
1973,476,13919
1974,476,46337
1975,476,66660
1995,485,1471
1996,485,2202
2006,485,39147
2016,486,1314
2096,511,965
2098,513,406
2147,529,4766
2167,532,541
2169,532,24431
2170,532,39067
2172,532,43944
2173,532,57516
2175,532,61708
2176,532,70159
2177,532,83765
2179,532,97078
2180,532,99856
2181,532,100733
2182,532,107218
2183,532,107257
2184,532,108805
2186,533,703
2187,533,3107
2188,533,32373
2189,533,34355
2242,550,1747
2246,552,467
2252,553,175
2253,553,1323
2254,553,2062
2255,553,2274
2256,553,6652
2268,557,10893
2271,557,17846
2316,565,104655
2353,576,108690
2367,578,38860
2403,588,294
2404,588,4233
2405,588,12617
2406,588,89743
2444,597,500
2445,597,3297
2446,597,4104
2447,597,30462
2448,597,65147
2449,597,80299
2450,597,85702
