,From,To,Date
0,1,3,2006-11-02
1,1,4,2006-11-02
2,1,5,2006-11-02
3,1,6,2006-11-02
4,1,7,2006-11-02
5,1,8,2006-11-02
6,1,9,2006-11-02
7,1,794106,2006-11-02
8,1,1427826,2006-11-02
9,1,1427827,2006-11-02
10,2,3,2006-11-02
11,2,4,2006-11-02
12,2,7,2006-11-02
13,2,9,2006-11-02
14,2,23,2006-11-02
15,2,55,2006-11-02
16,2,175,2006-11-02
17,2,187,2006-11-02
18,2,270,2006-11-02
19,2,638,2006-11-02
20,2,645,2006-11-02
21,2,662,2006-11-02
22,2,695,2006-11-02
23,2,747,2006-11-02
24,2,919,2006-11-02
25,2,946,2006-11-02
26,2,983,2006-11-02
27,2,1005,2006-11-02
28,2,1088,2006-11-02
29,2,1114,2006-11-02
30,2,1142,2006-11-02
31,2,1150,2006-11-02
32,2,1187,2006-11-02
33,2,1208,2006-11-02
34,2,1324,2006-11-02
35,2,1383,2006-11-02
36,2,1467,2006-11-02
37,2,1546,2006-11-02
38,2,1575,2006-11-02
39,2,1637,2006-11-02
40,2,1906,2006-11-02
41,2,1952,2006-11-02
42,2,1955,2006-11-02
43,2,2040,2006-11-02
44,2,2085,2006-11-02
45,2,2099,2006-11-02
46,2,2122,2006-11-02
47,2,2225,2006-11-02
48,2,2226,2006-11-02
49,2,2293,2006-11-02
50,2,2364,2006-11-02
51,2,2439,2006-11-02
52,2,2508,2006-11-02
53,2,2712,2006-11-02
54,2,2944,2006-11-02
55,2,3041,2006-11-02
56,2,3061,2006-11-02
57,2,3167,2006-11-02
58,2,3177,2006-11-02
59,2,3339,2006-11-02
60,2,3417,2006-11-02
61,2,3566,2006-11-02
62,2,4132,2006-11-02
63,2,4203,2006-11-02
64,2,4241,2006-11-02
65,2,4250,2006-11-02
66,2,4408,2006-11-02
67,2,4464,2006-11-02
68,2,4531,2006-11-02
69,2,4589,2006-11-02
70,2,4603,2006-11-02
71,2,4644,2006-11-02
72,2,4654,2006-11-02
73,2,4686,2006-11-02
74,2,4769,2006-11-02
75,2,4893,2006-11-02
76,2,4918,2006-11-02
77,2,4973,2006-11-02
78,2,5210,2006-11-02
79,2,5649,2006-11-02
80,2,5658,2006-11-02
81,2,5798,2006-11-02
82,2,5846,2006-11-02
83,2,6186,2006-11-02
84,2,6242,2006-11-02
85,2,6643,2006-11-02
86,2,6880,2006-11-02
87,2,7100,2006-11-02
88,2,7130,2006-11-02
89,2,7153,2006-11-02
90,2,7257,2006-11-02
91,2,7268,2006-11-02
92,2,7278,2006-11-02
93,2,7342,2006-11-02
94,2,7373,2006-11-02
95,2,7729,2006-11-02
96,2,8014,2006-11-02
97,2,8057,2006-11-02
98,2,8096,2006-11-02
99,2,8148,2006-11-02
100,2,8244,2006-11-02
101,2,8361,2006-11-02
102,2,8506,2006-11-02
103,2,8674,2006-11-02
104,2,8974,2006-11-02
105,2,9578,2006-11-02
106,2,9751,2006-11-02
107,2,9763,2006-11-02
108,2,9795,2006-11-02
109,2,9845,2006-11-02
110,2,9950,2006-11-02
111,2,10002,2006-11-02
112,2,10130,2006-11-02
113,2,11229,2006-11-02
114,2,11400,2006-11-02
115,2,11570,2006-11-02
116,2,11627,2006-11-02
117,2,11760,2006-11-02
118,2,11887,2006-11-02
119,2,12014,2006-11-02
120,2,12206,2006-11-02
121,2,12219,2006-11-02
122,2,12641,2006-11-02
123,2,12947,2006-11-02
124,2,12971,2006-11-02
125,2,13012,2006-11-02
126,2,13039,2006-11-02
127,2,13087,2006-11-02
128,2,13126,2006-11-02
129,2,13168,2006-11-02
130,2,13390,2006-11-02
131,2,13558,2006-11-02
132,2,14193,2006-11-02
133,2,14269,2006-11-02
134,2,14380,2006-11-02
135,2,14649,2006-11-02
136,2,14785,2006-11-02
137,2,15129,2006-11-02
138,2,15486,2006-11-02
139,2,15732,2006-11-02
140,2,15739,2006-11-02
141,2,15849,2006-11-02
142,2,15863,2006-11-02
143,2,15868,2006-11-02
144,2,15871,2006-11-02
145,2,15872,2006-11-02
146,2,15874,2006-11-02
147,2,15876,2006-11-02
148,2,15877,2006-11-02
149,2,15884,2006-11-02
150,2,15885,2006-11-02
151,2,15886,2006-11-02
152,2,15887,2006-11-02
153,2,15890,2006-11-02
154,2,15891,2006-11-02
155,2,15894,2006-11-02
156,2,15895,2006-11-02
157,2,15904,2006-11-02
